split,acuity,count,percentage,total,high_acuity_1_2_count,high_acuity_1_2_percentage,non_high_acuity_3_5_count,non_high_acuity_3_5_percentage,minority_to_majority_ratio
overall,1,24019,0.05744797895240373,418100,163430,0.39088734752451565,254670,0.6091126524754843,0.0048874552353531855
overall,2,139411,0.3334393685721119,418100,163430,0.39088734752451565,254670,0.6091126524754843,0.0048874552353531855
overall,3,225066,0.5383066252092801,418100,163430,0.39088734752451565,254670,0.6091126524754843,0.0048874552353531855
overall,4,28504,0.06817507773259986,418100,163430,0.39088734752451565,254670,0.6091126524754843,0.0048874552353531855
overall,5,1100,0.0026309495336044007,418100,163430,0.39088734752451565,254670,0.6091126524754843,0.0048874552353531855
train,1,16717,0.05727883557818491,291853,114267,0.39152244451830204,177586,0.608477555481698,0.0048590060371398736
train,2,97550,0.3342436089401171,291853,114267,0.39152244451830204,177586,0.608477555481698,0.0048590060371398736
train,3,157028,0.5380379848759478,291853,114267,0.39152244451830204,177586,0.608477555481698,0.0048590060371398736
train,4,19795,0.06782524078902735,291853,114267,0.39152244451830204,177586,0.608477555481698,0.0048590060371398736
train,5,763,0.002614329816722802,291853,114267,0.39152244451830204,177586,0.608477555481698,0.0048590060371398736
validation,1,3626,0.05752816119308266,63030,24372,0.38667301285102335,38658,0.6133269871489767,0.005164622336991607
validation,2,20746,0.32914485165794066,63030,24372,0.38667301285102335,38658,0.6133269871489767,0.005164622336991607
validation,3,34078,0.5406631762652705,63030,24372,0.38667301285102335,38658,0.6133269871489767,0.005164622336991607
validation,4,4404,0.06987148976677772,63030,24372,0.38667301285102335,38658,0.6133269871489767,0.005164622336991607
validation,5,176,0.002792321116928447,63030,24372,0.38667301285102335,38658,0.6133269871489767,0.005164622336991607
test,1,3676,0.05814891563978044,63217,24791,0.3921571729123495,38426,0.6078428270876505,0.004740871613663133
test,2,21115,0.3340082572725691,63217,24791,0.3921571729123495,38426,0.6078428270876505,0.004740871613663133
test,3,33960,0.537197272885458,63217,24791,0.3921571729123495,38426,0.6078428270876505,0.004740871613663133
test,4,4305,0.06809877090023253,63217,24791,0.3921571729123495,38426,0.6078428270876505,0.004740871613663133
test,5,161,0.002546783301959916,63217,24791,0.3921571729123495,38426,0.6078428270876505,0.004740871613663133
